min_spread,frequency_days,num_trades,total_reward,avg_reward_per_trade,win_rate,buy_pct,sell_pct,hold_pct
0,1,2511,420.67835235595663,0.16753419050416432,43.52847471127041,69.89247311827957,8.482676224611708,21.62485065710872
0,3,837,205.82769775390562,0.2459112279019183,43.48864994026284,69.17562724014337,8.482676224611708,22.341696535244925
0,5,503,273.57626342773426,0.5438891917052371,44.93041749502982,69.38369781312127,8.548707753479125,22.067594433399602
0,7,359,-43.2581253051755,-0.12049617076650557,42.33983286908078,66.57381615598887,10.027855153203342,23.398328690807798
0,10,252,95.92329406738273,0.3806479923308838,46.03174603174603,69.84126984126983,9.523809523809524,20.634920634920633
0,15,168,165.31436157226517,0.9840140569777689,47.61904761904761,69.04761904761905,8.333333333333332,22.61904761904762
0,20,126,55.87548065185544,0.44345619564964633,45.23809523809524,68.25396825396825,10.317460317460316,21.428571428571427
10,1,1798,388.272048950195,0.21594663456629312,48.275862068965516,82.25806451612904,3.225806451612903,14.516129032258066
10,3,600,-80.46483612060499,-0.13410806020100832,44.333333333333336,81.33333333333333,4.0,14.666666666666666
10,5,360,131.35024261474598,0.36486178504096106,50.0,81.38888888888889,3.6111111111111107,15.0
10,7,257,77.71158599853528,0.3023797120565575,49.0272373540856,82.10116731517509,3.11284046692607,14.785992217898833
10,10,180,65.54206848144518,0.3641226026746955,50.0,81.11111111111111,4.444444444444445,14.444444444444443
10,15,120,-34.386650085449105,-0.2865554173787425,41.66666666666667,80.0,5.0,15.0
10,20,90,-0.9672775268555682,-0.01074752807617298,50.0,81.11111111111111,3.3333333333333335,15.555555555555555
20,1,867,364.1013259887695,0.41995539329731196,47.75086505190311,83.04498269896193,1.7301038062283738,15.22491349480969
20,3,289,208.7102584838866,0.7221808252037599,51.55709342560554,83.39100346020761,2.0761245674740483,14.53287197231834
20,5,174,-5.711349487304716,-0.032823847628188026,46.55172413793103,85.63218390804597,0.5747126436781609,13.793103448275861
20,7,124,17.2971572875978,0.13949320393224032,45.16129032258064,81.45161290322581,3.225806451612903,15.32258064516129
20,10,87,19.445983886718608,0.2235170561691794,49.42528735632184,85.0574712643678,1.1494252873563218,13.793103448275861
20,15,58,35.89280700683584,0.6188415001178593,58.620689655172406,87.93103448275862,0.0,12.068965517241379
20,20,44,-4.000541687011662,-0.09092140197753777,50.0,84.0909090909091,2.272727272727273,13.636363636363635
50,1,280,152.42568206787092,0.5443774359566819,53.214285714285715,93.57142857142857,0.7142857142857143,5.714285714285714
50,3,94,109.56028747558584,1.1655349731445301,56.38297872340425,93.61702127659575,0.0,6.382978723404255
50,5,56,-53.617286682129105,-0.9574515478951626,50.0,94.64285714285714,1.7857142857142856,3.571428571428571
50,7,40,93.48148345947249,2.337037086486812,62.5,95.0,0.0,5.0
50,10,28,-35.22114562988291,-1.257898058210104,50.0,96.42857142857143,0.0,3.571428571428571
50,15,19,6.679748535156037,0.35156571237663353,57.89473684210527,94.73684210526315,0.0,5.263157894736842
50,20,14,-56.0440216064453,-4.0031444004603784,42.857142857142854,100.0,0.0,0.0
