day_offset,min_spread,total_pnl,num_trades,avg_pnl,win_rate
0,0,222.09078188398337,29,7.658302823585633,48.275862068965516
0,20,43.692605008105055,6,7.282100834684176,66.66666666666666
0,50,0.0,0,0.0,0.0
1,0,165.16927265549086,21,7.865203459785279,57.14285714285714
1,20,101.31088010800993,4,25.32772002700248,50.0
1,50,0.0,0,0.0,0.0
2,0,149.8999798013815,21,7.138094276256261,47.61904761904761
2,20,226.34234803665942,6,37.72372467277656,33.33333333333333
2,50,0.0,0,0.0,0.0
3,0,118.17523822446101,21,5.627392296402905,52.38095238095239
3,20,81.3286420399748,4,20.3321605099937,50.0
3,50,0.0,0,0.0,0.0
4,0,157.17197058664883,25,6.286878823465955,56.00000000000001
4,20,215.60602665686557,2,107.80301332843278,50.0
4,50,0.0,0,0.0,0.0
5,0,289.0937780937255,25,11.563751123749022,60.0
5,20,173.55861721590819,2,86.77930860795409,50.0
5,50,177.5785296400148,2,88.7892648200074,100.0
6,0,213.13249953916028,21,10.14916664472192,47.61904761904761
6,20,-19.849168589288656,4,-4.962292147322164,50.0
6,50,-61.61163373896682,2,-30.80581686948341,0.0
